alpha,rho,eta,xi_pillar_1,xi_pillar_2,xi_pillar_3,xi_pillar_4,xi_pillar_5,xi_pillar_6,xi_pillar_7,xi_pillar_8,T,Strike,IV
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,0.9511430797913707,0.21543485619967725
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,0.9685636797194687,0.21263586177868632
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,0.9819636846389564,0.21053730634416692
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,1.0219690457740143,0.20413977195973587
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,1.034482640145183,0.20212859906554717
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.024090174898071713,1.0418898210745324,0.20096521138549617
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,0.8749855555144251,0.22616288801150117
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,0.9443497075874538,0.2147730402200777
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,0.9835595424012992,0.2087852931012364
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,0.9939616048845739,0.20725360634193946
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,1.0628588905859189,0.19770212281810273
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.06635082177425808,1.0684172331204984,0.19697909804370303
-0.09366654957384912,-0.6745848571834507,0.6460674412195517,0.04283236167737936,0.06912294556435479,0.053529821438736226,0.14663531906166866,0.06539283761891435,0.012878394666332085,0.09648922414603658,0.14313953749789865,0.13258807142450552,0.79976416213806,0.2606567398546696
